選手名,所属クラブ,クラブ勝点,試合数,リーグ知名度,試合出場数,得点,CA
沖野泰斗,バンディオンセ加古川,20,14,29,12,0,
赤谷直紀,バンディオンセ加古川,20,14,29,13,0,
小見恵吾,バンディオンセ加古川,20,14,29,8,2,
高田祥生,バンディオンセ加古川,20,14,29,13,0,
野村朋成,バンディオンセ加古川,20,14,29,13,0,
江坂巧,バンディオンセ加古川,20,14,29,10,2,
伊藤圭斗,バンディオンセ加古川,20,14,29,10,4,
原遥介,バンディオンセ加古川,20,14,29,2,0,
伏木一紘,バンディオンセ加古川,20,14,29,14,1,
村井宏起,バンディオンセ加古川,20,14,29,14,5,
澤居道,バンディオンセ加古川,20,14,29,5,0,
沖山正信,バンディオンセ加古川,20,14,29,13,1,
石山大地,バンディオンセ加古川,20,14,29,14,2,
山口愛騎,バンディオンセ加古川,20,14,29,1,0,
福田俊太,バンディオンセ加古川,20,14,29,10,0,
望月雅稀,バンディオンセ加古川,20,14,29,2,0,
水野竜,バンディオンセ加古川,20,14,29,2,0,
高瀬証,バンディオンセ加古川,20,14,29,9,1,
水頭廉,バンディオンセ加古川,20,14,29,4,0,
鈴木玲央,バンディオンセ加古川,20,14,29,13,0,
中林一樹,バンディオンセ加古川,20,14,29,12,3,
坂本慎治,バンディオンセ加古川,20,14,29,7,1,
中島健汰,バンディオンセ加古川,20,14,29,3,0,
原田亮,バンディオンセ加古川,20,14,29,4,0,
花岡諒,バンディオンセ加古川,20,14,29,1,0,
長瀬圭佑,バンディオンセ加古川,20,14,29,4,0,
松本文哉,バンディオンセ加古川,20,14,29,1,0,
金城賢司,レイジェンド滋賀,12,14,29,9,0,
山田大地,レイジェンド滋賀,12,14,29,12,2,
久保卓哉,レイジェンド滋賀,12,14,29,13,0,
町田太壱,レイジェンド滋賀,12,14,29,14,0,
廣畑香月,レイジェンド滋賀,12,14,29,10,0,
山田清人,レイジェンド滋賀,12,14,29,13,0,
杉本涼,レイジェンド滋賀,12,14,29,12,0,
川﨑圭亮,レイジェンド滋賀,12,14,29,12,1,
井上大介,レイジェンド滋賀,12,14,29,5,0,
小畑賄人,レイジェンド滋賀,12,14,29,14,5,
森崎有哉,レイジェンド滋賀,12,14,29,11,2,
長谷川慎梧,レイジェンド滋賀,12,14,29,14,3,
木村達哉,レイジェンド滋賀,12,14,29,5,1,
長谷川圭,レイジェンド滋賀,12,14,29,9,0,
中野拓海,レイジェンド滋賀,12,14,29,8,0,
太田俊輔,レイジェンド滋賀,12,14,29,2,0,
松下広樹,レイジェンド滋賀,12,14,29,7,0,
吉田実成都,レイジェンド滋賀,12,14,29,11,0,
飯塚稔也,レイジェンド滋賀,12,14,29,6,0,
上河健太,レイジェンド滋賀,12,14,29,3,0,
岡田慧,レイジェンド滋賀,12,14,29,6,0,
平山創士,レイジェンド滋賀,12,14,29,3,0,
堀田裕一郎,レイジェンド滋賀,12,14,29,1,0,
渡辺翔貴,レイジェンド滋賀,12,14,29,3,0,
三宅貴憲,おこしやす京都AC,34,14,29,1,0,53
内田錬平,おこしやす京都AC,34,14,29,13,4,65
森崎広樹,おこしやす京都AC,34,14,29,5,3,54
瓜生紘大,おこしやす京都AC,34,14,29,5,0,55
青木捷,おこしやす京都AC,34,14,29,12,0,
守屋鷹人,おこしやす京都AC,34,14,29,13,1,
高橋康平,おこしやす京都AC,34,14,29,10,0,55
清水良平,おこしやす京都AC,34,14,29,12,0,58
脇裕基,おこしやす京都AC,34,14,29,13,6,
YAKUBUNASSAMIbrahim,おこしやす京都AC,34,14,29,11,3,
勝又慶典,おこしやす京都AC,34,14,29,11,4,66
高橋俊樹,おこしやす京都AC,34,14,29,12,1,58
山本大稀,おこしやす京都AC,34,14,29,13,3,60
柿木亮介,おこしやす京都AC,34,14,29,10,1,
澤口雅彦,おこしやす京都AC,34,14,29,12,1,58
ERICKUMI,おこしやす京都AC,34,14,29,10,4,
本吉勇貴,おこしやす京都AC,34,14,29,12,0,57
田中憧,おこしやす京都AC,34,14,29,10,4,62
EMMANUELSABANLARYEA,おこしやす京都AC,34,14,29,8,1,
小久保裕也,おこしやす京都AC,34,14,29,6,1,50
杉山ビラル正将,おこしやす京都AC,34,14,29,1,0,40
池上尚孝,アルテリーヴォ和歌山,22,14,29,9,0,
角南裕太,アルテリーヴォ和歌山,22,14,29,14,1,
石垣徳之,アルテリーヴォ和歌山,22,14,29,5,0,45
三浦修,アルテリーヴォ和歌山,22,14,29,12,0,54
白明哲,アルテリーヴォ和歌山,22,14,29,13,0,
大北啓介,アルテリーヴォ和歌山,22,14,29,11,3,54
林祥太,アルテリーヴォ和歌山,22,14,29,14,2,62
宮下周歩,アルテリーヴォ和歌山,22,14,29,12,2,
山本廉,アルテリーヴォ和歌山,22,14,29,13,0,
堀野翔,アルテリーヴォ和歌山,22,14,29,11,1,54
久保裕一,アルテリーヴォ和歌山,22,14,29,14,11,73
安川常聖,アルテリーヴォ和歌山,22,14,29,7,0,43
白方淳也,アルテリーヴォ和歌山,22,14,29,7,2,
辻村剛史,アルテリーヴォ和歌山,22,14,29,5,0,48
高瀬龍舞,アルテリーヴォ和歌山,22,14,29,11,1,58
寺本健人,アルテリーヴォ和歌山,22,14,29,13,1,
松尾瑛太,アルテリーヴォ和歌山,22,14,29,7,0,48
松野大輝,アルテリーヴォ和歌山,22,14,29,6,1,48
川口真史,アルテリーヴォ和歌山,22,14,29,4,1,48
國廣周平,アルテリーヴォ和歌山,22,14,29,9,0,40
大野敬介,アルテリーヴォ和歌山,22,14,29,5,0,48
佐藤友,アルテリーヴォ和歌山,22,14,29,2,0,40
篠田朋宏,アルテリーヴォ和歌山,22,14,29,5,0,
村上拓人,アルテリーヴォ和歌山,22,14,29,3,0,45
唐木沢真也,アルテリーヴォ和歌山,22,14,29,1,1,
キローラン菜入,FC TIAMO枚方,33,14,29,1,0,53
樋口総,FC TIAMO枚方,33,14,29,14,0,56
守安陸,FC TIAMO枚方,33,14,29,11,0,
市川恵多,FC TIAMO枚方,33,14,29,14,0,65
田中英雄,FC TIAMO枚方,33,14,29,14,0,65
野沢拓也,FC TIAMO枚方,33,14,29,14,14,62
加藤博人,FC TIAMO枚方,33,14,29,14,2,60
小谷健悟,FC TIAMO枚方,33,14,29,5,0,52
多田将希,FC TIAMO枚方,33,14,29,9,0,
木田直樹,FC TIAMO枚方,33,14,29,14,11,60
山浦大和,FC TIAMO枚方,33,14,29,10,3,
濱中優俊,FC TIAMO枚方,33,14,29,13,5,
武田博行,FC TIAMO枚方,33,14,29,13,0,65
二川孝広,FC TIAMO枚方,33,14,29,6,3,50
曽我大地,FC TIAMO枚方,33,14,29,9,0,
福森大樹,FC TIAMO枚方,33,14,29,3,0,45
藤代健太,FC TIAMO枚方,33,14,29,8,0,
阿部翔,FC TIAMO枚方,33,14,29,8,0,48
吉村泰良,FC TIAMO枚方,33,14,29,10,0,
野原有希,FC TIAMO枚方,33,14,29,6,1,
上籔隼斗,AS.Laranja Kyoto,33,14,15,6,0,
福永和生,AS.Laranja Kyoto,33,14,15,13,1,
竹内智史,AS.Laranja Kyoto,33,14,15,9,1,
三好一輝,AS.Laranja Kyoto,33,14,15,10,3,
松本佳浩,AS.Laranja Kyoto,33,14,15,13,0,
中尾元基,AS.Laranja Kyoto,33,14,15,10,1,
大澤大樹,AS.Laranja Kyoto,33,14,15,14,6,52
山中宏基,AS.Laranja Kyoto,33,14,15,8,6,
安達敬祐,AS.Laranja Kyoto,33,14,15,10,3,
磯部隼也,AS.Laranja Kyoto,33,14,15,14,14,
河野大翔,AS.Laranja Kyoto,33,14,15,13,3,
山口拓哉,AS.Laranja Kyoto,33,14,15,11,1,45
楠田敏也,AS.Laranja Kyoto,33,14,15,3,0,38
大野将弥,AS.Laranja Kyoto,33,14,15,8,0,
廣岡拓,AS.Laranja Kyoto,33,14,15,4,0,
金子優,AS.Laranja Kyoto,33,14,15,2,0,37
中尾真那,AS.Laranja Kyoto,33,14,15,11,0,42
酒井翼,AS.Laranja Kyoto,33,14,15,7,2,
山内颯,AS.Laranja Kyoto,33,14,15,6,0,
大平智也,AS.Laranja Kyoto,33,14,15,1,0,35
山本啄也,AS.Laranja Kyoto,33,14,15,9,0,
矢城和哉,AS.Laranja Kyoto,33,14,15,1,0,35
溝川幸宏,AS.Laranja Kyoto,33,14,15,1,0,35
八木大地,AS.Laranja Kyoto,33,14,15,3,1,38
大石倭生,AS.Laranja Kyoto,33,14,15,1,0,35
則武柊吾,AS.Laranja Kyoto,33,14,15,1,0,35
関直人,ポルベニル飛鳥,29,14,15,1,0,35
塚田圭祐,ポルベニル飛鳥,29,14,15,12,1,
野本泰崇,ポルベニル飛鳥,29,14,15,12,1,42
吉岡尊志,ポルベニル飛鳥,29,14,15,14,0,40
吉田智尚,ポルベニル飛鳥,29,14,15,10,0,
下村育海,ポルベニル飛鳥,29,14,15,11,1,
大村英梨也,ポルベニル飛鳥,29,14,15,12,0,
山本賢也,ポルベニル飛鳥,29,14,15,8,1,
石橋友吾,ポルベニル飛鳥,29,14,15,7,0,
倉田大輝,ポルベニル飛鳥,29,14,15,8,2,
日高恕保,ポルベニル飛鳥,29,14,15,14,11,
河原択磨,ポルベニル飛鳥,29,14,15,13,2,40
池田智基,ポルベニル飛鳥,29,14,15,11,6,
正木語,ポルベニル飛鳥,29,14,15,1,0,
永井建成,ポルベニル飛鳥,29,14,15,13,0,
石原歩,ポルベニル飛鳥,29,14,15,13,6,
清水勇輝,ポルベニル飛鳥,29,14,15,11,1,
河原実輝,ポルベニル飛鳥,29,14,15,10,1,
新保誠,ポルベニル飛鳥,29,14,15,11,0,
沖田祥己,ポルベニル飛鳥,29,14,15,2,0,
渡部駿,ポルベニル飛鳥,29,14,15,1,1,35
深見裕矢,ポルベニル飛鳥,29,14,15,1,0,30
有馬巧,FC徳島,36,14,23,4,0,38
西川公章,FC徳島,36,14,23,9,0,
高志煌,FC徳島,36,14,23,14,2,45
天羽良輔,FC徳島,36,14,23,7,0,47
國分俊樹,FC徳島,36,14,23,13,3,57
巽拓也,FC徳島,36,14,23,7,0,45
是枝真伍,FC徳島,36,14,23,14,2,
山村脩平,FC徳島,36,14,23,2,0,40
秋月駿作,FC徳島,36,14,23,12,5,46
松本圭介,FC徳島,36,14,23,14,1,60
福崎冬也,FC徳島,36,14,23,14,5,53
中山竜介,FC徳島,36,14,23,10,5,
富永真央,FC徳島,36,14,23,12,7,
金原史敏,FC徳島,36,14,23,2,0,
中峯正博,FC徳島,36,14,23,6,2,
奥村南斗,FC徳島,36,14,23,13,12,50
井浦陽司,FC徳島,36,14,23,3,0,40
大森拓弥,FC徳島,36,14,23,4,0,35
中川将吾,FC徳島,36,14,23,6,0,40
石川雅博,FC徳島,36,14,23,11,3,
西村侑馬,FC徳島,36,14,23,3,2,
増尾汰一,FC徳島,36,14,23,3,0,
